0.33	0.565	0.735	0.695	0.825	0.415	0.6	0.5	0.065	0.026	0.025	0.047	0.034	0	0	0
0.33	0.565	0.735	0.695	0.825	0.415	0.6	0.5	0.13	0.052	0.05	0.094	0.068	0	0	0
0.33	0.565	0.735	0.695	0.825	0.415	0.6	0.5	0.195	0.078	0.075	0.141	0.102	0	0	0
0.33	0.565	0.735	0.695	0.825	0.415	0.6	0.5	0.26	0.104	0.1	0.188	0.136	0	0	0
0.33	0.565	0.735	0.695	0.825	0.415	0.6	0.5	0.325	0.13	0.125	0.235	0.17	0	0	0
0.33	0.565	0.735	0.695	0.825	0.415	0.6	0.5	0.39	0.156	0.15	0.282	0.204	0	0	0
0.33	0.565	0.735	0.695	0.825	0.415	0.6	0.5	0.455	0.182	0.175	0.329	0.238	0	0	0
0.33	0.565	0.735	0.695	0.825	0.415	0.6	0.5	0.52	0.208	0.2	0.376	0.272	0	0	0
0.33	0.565	0.735	0.695	0.825	0.415	0.6	0.5	0.585	0.234	0.225	0.423	0.306	0	0	0
0.33	0.565	0.735	0.695	0.825	0.415	0.6	0.5	0.65	0.26	0.25	0.47	0.34	0	0	0
