0.044547 0.054632 0.034462 0.032236 0.038172 0.032424 0.046032 0.018815 0.015785 0.023865 0.04521 0.055265 0.035156 0.030939 0.042183 0.032431 0.046092 0.01877 0.016067 0.023276
0.05743 0.049209 0.06565 0.077827 0.045356 0.052998 0.042897 0.0631 0.057636 0.072206 0.057114 0.049103 0.065125 0.078329 0.043119 0.052226 0.043164 0.061288 0.054685 0.072295
0.049503 0.04878 0.050226 0.06239 0.029951 0.051302 0.041405 0.061199 0.056935 0.068307 0.04935 0.048779 0.049922 0.063192 0.027804 0.050108 0.041771 0.058445 0.05244 0.068453
0.040614 0.048692 0.032536 0.045892 0.010277 0.043855 0.041048 0.046662 0.043715 0.051573 0.040454 0.0487 0.032208 0.046678 0.008092 0.042621 0.041435 0.043806 0.039047 0.051738
0.036595 0.048683 0.024507 0.033317 0.009824 0.03559 0.040973 0.030207 0.027909 0.034037 0.037565 0.048691 0.02644 0.034925 0.012297 0.0344 0.041364 0.027437 0.023205 0.034489
0.038281 0.048682 0.02788 0.026618 0.029982 0.032465 0.040957 0.023974 0.020206 0.030253 0.039198 0.04869 0.029707 0.028227 0.032173 0.03234 0.041349 0.023331 0.018906 0.030706
0.041391 0.048681 0.034101 0.024473 0.050148 0.03301 0.040954 0.025066 0.024249 0.026429 0.042024 0.04869 0.035358 0.02517 0.052339 0.033352 0.041346 0.025358 0.024443 0.026883
0.047421 0.048681 0.046161 0.031668 0.070314 0.036107 0.040953 0.03126 0.030148 0.033113 0.048084 0.04869 0.047477 0.032461 0.072505 0.036653 0.041345 0.031961 0.030342 0.034659
0.056359 0.048681 0.064036 0.048168 0.090481 0.042267 0.040953 0.04358 0.040697 0.048385 0.057021 0.04869 0.065352 0.048961 0.092672 0.043581 0.041345 0.045816 0.04438 0.04821
0.065296 0.048681 0.081911 0.064668 0.110648 0.051204 0.040953 0.061455 0.057197 0.068552 0.065959 0.04869 0.083227 0.065461 0.112839 0.052518 0.041345 0.063691 0.060879 0.068376
0.034477 0.034742 0.034212 0.032636 0.036839 0.028248 0.034307 0.02219 0.018985 0.027532 0.034266 0.033627 0.034906 0.031339 0.04085 0.028419 0.034692 0.022145 0.019267 0.026943
