0.074947 0.028817 0.052963 0.023458 0.084957 0.0036729 0.0033654 0.0038383	
0.1242 0.046963 0.082426 0.029276 0.14564 0.0033743 0.0030023 0.0034009	
0.16763 0.0637 0.10811 0.033722 0.20057 0.0032108 0.0028166 0.0031741	
0.21314 0.081524 0.13499 0.038196 0.25809 0.0031058 0.0026991 0.0030327	
0.26495 0.10218 0.16598 0.043367 0.32297 0.0030422 0.0026286 0.0029503	
0.3248 0.12666 0.20285 0.049803 0.3968 0.0030285 0.0026149 0.0029376	
0.38965 0.15428 0.24502 0.057924 0.47568 0.0030889 0.0026878 0.0030279	
0.45062 0.1821 0.28812 0.067619 0.5498 0.0032465 0.0028802 0.0032562	
0.4983 0.20624 0.32571 0.077851 0.60918 0.003491 0.0031888 0.0036137	
0.52989 0.22442 0.35369 0.087012 0.65035 0.0037646 0.0035462 0.0040208
