0.065527 0.0041643 0.049373 0.07068 0.046434 0.057323 0.043168 0.054001
0.11122 0.0038774 0.076289 0.11225 0.069546 0.10128 0.06979 0.089511	
0.15251 0.0037118 0.099346 0.14789 0.08899 0.1416 0.092996 0.12084	
0.19581 0.0036049 0.12294 0.18444 0.10905 0.18351 0.11669 0.15309	
0.24477 0.0035412 0.14943 0.22562 0.13207 0.23017 0.14308 0.1892	
0.3008 0.0035288 0.18012 0.27364 0.15971 0.28265 0.17332 0.23065	
0.36104 0.0035905 0.21434 0.32785 0.19228 0.33847 0.2068 0.27638	
0.41746 0.0037492 0.24852 0.38322 0.22736 0.39111 0.24045 0.3218	
0.46134 0.0039965 0.27763 0.43175 0.26006 0.43345 0.26985 0.3606	
0.49009 0.0042767 0.29879 0.46787 0.28606 0.46261 0.29196 0.38893
