0.071141 0.0037277 0.057335 0.054903 0.059151 0.051073 0.055456 0.062895	
0.12447 0.0034034 0.091741 0.0869 0.092385 0.091692 0.093748 0.10788	
0.17583 0.0032257 0.12328 0.11629 0.12261 0.13133 0.12938 0.15009	
0.23262 0.0031206 0.15751 0.14842 0.1562 0.17444 0.16759 0.19563	
0.2982 0.0030823 0.19737 0.18641 0.19704 0.22312 0.21118 0.24764	
0.37037 0.0031383 0.24308 0.23127 0.24716 0.27578 0.26022 0.30582	
0.43917 0.0033334 0.29053 0.28017 0.30424 0.32636 0.31107 0.36502	
0.49288 0.003691 0.3328 0.32674 0.36089 0.36791 0.3576 0.4173	
0.52819 0.0041667 0.36546 0.36507 0.40922 0.39754 0.39476 0.45717	
0.5496 0.0046627 0.38855 0.39314 0.44582 0.41675 0.4212 0.48429	
