0.059165 0.047173 0.053679 0.023546 0.096863 0.0036165 0.0038212 0.0038911
0.097058 0.080856 0.084383 0.029799 0.17016 0.0033511 0.0035677 0.0035611	
0.13239 0.11183 0.11217 0.035007 0.23893 0.0032317 0.0034973 0.003456	
0.1714 0.14388 0.14205 0.040694 0.3121 0.0031905 0.0035301 0.0034746	
0.21782 0.17895 0.17699 0.047764 0.3941 0.0032211 0.003677 0.0036222	
0.27339 0.21731 0.21869 0.057145 0.48471 0.0033446 0.0039931 0.0039556	
0.33548 0.25728 0.26633 0.069637 0.57708 0.0035944 0.0045636 0.0045626	
0.39572 0.29564 0.31516 0.085176 0.65908 0.0039883 0.0054547 0.0055081	
0.44445 0.32857 0.35801 0.10201 0.72075 0.00449 0.0066102 0.0067259
0.47776 0.35333 0.38992 0.11724 0.76069 0.0050017 0.0078044 0.0079768
