0.028542 0.051675 0.005410 0.006980 0.002794
0.026535 0.045188 0.007881 0.006441 0.010280
0.028650 0.045631 0.011669 0.009294 0.015628
0.030863 0.045015 0.016711 0.012158 0.024300
0.033540 0.044352 0.022727 0.015694 0.034450
0.036594 0.043616 0.029573 0.020236 0.045133
0.039557 0.042800 0.036315 0.024665 0.055730
0.042946 0.041883 0.044010 0.030958 0.065762
0.045991 0.040841 0.051142 0.036939 0.074812
0.048404 0.039661 0.057146 0.041917 0.082528
0.017460 0.029874 0.005045 0.007121 0.001587
0.020727 0.034403 0.007051 0.008097 0.005307
0.020937 0.034023 0.007851 0.009100 0.005770
0.022000 0.034616 0.009385 0.009236 0.009634
0.023976 0.035381 0.012571 0.010445 0.016116
0.026147 0.036216 0.016078 0.011845 0.023133
0.029256 0.037135 0.021377 0.016165 0.030064
0.032492 0.038165 0.026818 0.021052 0.036429
0.035635 0.039336 0.031933 0.026005 0.041812
0.038271 0.040668 0.035874 0.029882 0.045862
0.017161 0.027214 0.007108 0.009221 0.003587
0.020298 0.031208 0.009389 0.011038 0.006640
0.020915 0.030662 0.011167 0.013206 0.007770
0.022962 0.031026 0.014899 0.017842 0.009992
0.025293 0.031442 0.019144 0.022996 0.012724
0.027769 0.031926 0.023612 0.028402 0.015629
0.030297 0.032473 0.028121 0.033898 0.018492
0.032820 0.033094 0.032545 0.039386 0.021145
0.035363 0.033797 0.036929 0.044799 0.023812
0.037798 0.034583 0.041014 0.050105 0.025862
0.020328 0.034833 0.005823 0.007565 0.002920
0.024725 0.041062 0.008389 0.011038 0.003973
0.025049 0.040619 0.009480 0.012906 0.003770
0.026144 0.041235 0.011053 0.014890 0.004659
0.027973 0.041898 0.014048 0.016806 0.009450
0.030030 0.042634 0.017426 0.018802 0.015133
0.032705 0.043450 0.021960 0.022698 0.020730
0.035568 0.044367 0.026770 0.027374 0.025762
0.038440 0.045409 0.031471 0.032467 0.029812
0.040938 0.046589 0.035286 0.036940 0.032528
0.019572 0.033122 0.006022 0.008331 0.002175
0.019617 0.031980 0.007254 0.009238 0.003947
0.020547 0.032231 0.008864 0.010506 0.006128
0.022757 0.032251 0.013264 0.014242 0.011634
0.025394 0.032247 0.018541 0.018496 0.018616
0.028821 0.032223 0.025419 0.024991 0.026133
0.032481 0.032185 0.032777 0.032305 0.033564
0.036093 0.032416 0.039770 0.039374 0.040429
0.039394 0.032692 0.046096 0.045967 0.046312
0.042266 0.032995 0.051536 0.051940 0.050862
0.029587 0.051781 0.007392 0.008938 0.004815
0.030767 0.048373 0.013162 0.006740 0.023865
0.034153 0.049218 0.019089 0.011741 0.031336
0.036859 0.048844 0.024875 0.015010 0.041315
0.039529 0.048319 0.030739 0.017733 0.052416
0.042922 0.047657 0.038187 0.022895 0.063672
0.046837 0.046859 0.046816 0.030280 0.074375
0.050182 0.045905 0.054459 0.036770 0.083940
0.052760 0.044784 0.060735 0.042042 0.091891
0.054533 0.043523 0.065543 0.046073 0.097993
0.018351 0.029937 0.006764 0.009834 0.001649
0.021814 0.032959 0.010670 0.006553 0.017532
0.022917 0.032462 0.013371 0.008292 0.021836
0.025330 0.032958 0.017703 0.011135 0.028648
0.027909 0.033564 0.022254 0.013656 0.036583
0.031609 0.034319 0.028900 0.019436 0.044672
0.035843 0.035364 0.036323 0.026791 0.052209
0.039663 0.036590 0.042736 0.033214 0.058607
0.042866 0.038025 0.047708 0.038299 0.063391
0.045392 0.039652 0.051132 0.042015 0.066326
0.020619 0.031940 0.009297 0.012734 0.003569
0.023608 0.036104 0.011112 0.010660 0.011865
0.024465 0.034955 0.013976 0.014359 0.013336
0.026856 0.034850 0.018862 0.019790 0.017315
0.030414 0.034906 0.025922 0.028025 0.022416
0.034241 0.035082 0.033400 0.036836 0.027672
0.037957 0.035348 0.040566 0.045480 0.032375
0.041350 0.035695 0.047004 0.053643 0.035940
0.044386 0.036105 0.052667 0.061119 0.038580
0.047240 0.036529 0.057952 0.067884 0.041398
0.021033 0.034752 0.007315 0.008969 0.004558
0.025000 0.037877 0.012123 0.011277 0.013532
0.025869 0.037032 0.014706 0.013390 0.016899
0.027692 0.037406 0.017978 0.015189 0.022627
0.029929 0.037931 0.021927 0.017767 0.028861
0.033251 0.038593 0.027909 0.023540 0.035191
0.036836 0.039391 0.034280 0.030055 0.041322
0.040247 0.040345 0.040149 0.036028 0.047018
0.043544 0.041775 0.045313 0.041253 0.052080
0.046573 0.043402 0.049744 0.045751 0.056398
0.020003 0.033011 0.006995 0.010657 0.000891
0.020878 0.031392 0.010365 0.007265 0.015532
0.022638 0.031577 0.013699 0.010616 0.018836
0.025745 0.031581 0.019909 0.017066 0.024649
0.029309 0.031556 0.027061 0.024349 0.031583
0.032986 0.031507 0.034464 0.031940 0.038672
0.036650 0.031438 0.041863 0.039855 0.045209
0.039922 0.031350 0.048495 0.047228 0.050607
0.042649 0.031244 0.054055 0.053853 0.054391
0.044797 0.031128 0.058467 0.059751 0.056326
0.028992 0.050200 0.007785 0.008347 0.006847
0.028846 0.042140 0.015553 0.013029 0.019760
0.031468 0.045922 0.017014 0.014126 0.021826
0.031117 0.046440 0.015794 0.013318 0.019920
0.033247 0.046620 0.019873 0.021219 0.017631
0.035653 0.046614 0.024693 0.030310 0.015330
0.038879 0.046513 0.031246 0.042170 0.013038
0.042115 0.046342 0.037888 0.054197 0.010707
0.045284 0.046111 0.044457 0.066161 0.008283
0.048571 0.045821 0.051321 0.077889 0.007040
0.018957 0.028686 0.009228 0.010657 0.006847
0.029348 0.038492 0.020204 0.020471 0.019760
0.030878 0.037934 0.023822 0.025019 0.021826
0.031909 0.038422 0.025396 0.028682 0.019920
0.032505 0.038848 0.026162 0.031281 0.017631
0.032938 0.039291 0.026584 0.033337 0.015330
0.034396 0.039749 0.029043 0.038646 0.013038
0.037030 0.040232 0.033828 0.047700 0.010707
0.039657 0.040748 0.038566 0.056735 0.008283
0.042486 0.041307 0.043664 0.065638 0.007040
0.017830 0.027933 0.007727 0.008256 0.006847
0.021170 0.026982 0.015357 0.012716 0.019760
0.020512 0.024385 0.016639 0.013526 0.021826
0.018015 0.023750 0.012280 0.007696 0.019920
0.018160 0.023372 0.012948 0.010139 0.017631
0.020223 0.023127 0.017318 0.018511 0.015330
0.022516 0.023060 0.021972 0.027333 0.013038
0.024889 0.023057 0.026722 0.036332 0.010707
0.027261 0.023091 0.031431 0.045319 0.008283
