0.299984 0.523105 0.648506 0.663262 0.871994 0.363537 0.479748 0.466385 0.558563 0.482741 0.526999 0.499625 0.516546 0.58895 0.555101 0.568858 0.288631 0.528755 0.676559 0.650972 0.874597 0.388904 0.482201 0.502601 0.544317 0.519029 0.51904 0.502734 0.518221 0.529247 0.535306 0.515147
0.295402 0.543979 0.67916 0.662629 0.876834 0.376885 0.454398 0.519391 0.70814 0.523582 0.57171 0.604165 0.591948 0.582934 0.597637 0.597601 0.298436 0.540935 0.673102 0.64827 0.876277 0.387862 0.466478 0.509354 0.721245 0.541301 0.591929 0.612028 0.603754 0.575553 0.590234 0.591803
0.299998 0.55125 0.682436 0.661792 0.87697 0.377634 0.451583 0.526073 0.72328 0.524862 0.574892 0.615418 0.598014 0.57822 0.598018 0.602845 0.30759 0.55233 0.672576 0.644252 0.877045 0.386458 0.455109 0.514093 0.762149 0.539539 0.611312 0.640086 0.622247 0.586016 0.606051 0.624843
0.300745 0.552344 0.68264 0.661758 0.877023 0.377578 0.451133 0.526857 0.72474 0.524635 0.574851 0.616726 0.598701 0.577805 0.597935 0.60364 0.310462 0.555688 0.671563 0.642907 0.877533 0.385772 0.451463 0.515532 0.772783 0.538216 0.61569 0.648084 0.627503 0.589652 0.610529 0.6343
0.300837 0.552478 0.682655 0.661754 0.87703 0.377566 0.451075 0.52694 0.724882 0.52459 0.574831 0.616865 0.598768 0.577761 0.597918 0.603742 0.311235 0.556586 0.671269 0.642542 0.877671 0.385582 0.450462 0.515923 0.77553 0.537821 0.616816 0.650177 0.628882 0.590658 0.611744 0.63684
0.300847 0.552493 0.682656 0.661753 0.877031 0.377564 0.451068 0.526949 0.724897 0.524584 0.574828 0.616879 0.598775 0.577757 0.597916 0.603753 0.311438 0.556821 0.671189 0.642446 0.877708 0.385531 0.450198 0.516026 0.776244 0.537714 0.617107 0.650724 0.629243 0.590924 0.612063 0.637506
0.300848 0.552495 0.682657 0.661753 0.877031 0.377564 0.451067 0.52695 0.724898 0.524583 0.574828 0.616881 0.598776 0.577756 0.597916 0.603755 0.311491 0.556882 0.671169 0.642421 0.877717 0.385518 0.450129 0.516053 0.77643 0.537686 0.617183 0.650866 0.629337 0.590994 0.612146 0.637679
0.300848 0.552495 0.682657 0.661753 0.877031 0.377564 0.451067 0.52695 0.724898 0.524583 0.574828 0.616881 0.598776 0.577756 0.597916 0.603755 0.311505 0.556898 0.671163 0.642415 0.87772 0.385514 0.450111 0.51606 0.776478 0.537679 0.617203 0.650903 0.629361 0.591012 0.612168 0.637725
0.300848 0.552495 0.682657 0.661753 0.877031 0.377564 0.451067 0.52695 0.724898 0.524583 0.574828 0.616881 0.598776 0.577756 0.597916 0.603755 0.311508 0.556902 0.671162 0.642413 0.87772 0.385513 0.450106 0.516062 0.776491 0.537677 0.617208 0.650913 0.629367 0.591016 0.612174 0.637736
0.300848 0.552495 0.682657 0.661753 0.877031 0.377564 0.451067 0.52695 0.724898 0.524583 0.574828 0.616881 0.598776 0.577756 0.597916 0.603755 0.311509 0.556904 0.671161 0.642413 0.877721 0.385513 0.450105 0.516062 0.776494 0.537677 0.617209 0.650915 0.629369 0.591018 0.612175 0.637739
