0.325	0.565	0.735	0.695	0.865	0.38	0.51	0.515	0.087	0.011	0.022	0.036	0.033	0.019	0.044	0.039
0.325	0.565	0.735	0.695	0.865	0.38	0.51	0.515	0.174	0.022	0.044	0.072	0.066	0.038	0.088	0.078
0.325	0.565	0.735	0.695	0.865	0.38	0.51	0.515	0.261	0.033	0.066	0.108	0.099	0.057	0.132	0.117
0.325	0.565	0.735	0.695	0.865	0.38	0.51	0.515	0.348	0.044	0.088	0.144	0.132	0.076	0.176	0.156
0.325	0.565	0.735	0.695	0.865	0.38	0.51	0.515	0.435	0.055	0.11	0.18	0.165	0.095	0.22	0.195
0.325	0.565	0.735	0.695	0.865	0.38	0.51	0.515	0.522	0.066	0.132	0.216	0.198	0.114	0.264	0.234
0.325	0.565	0.735	0.695	0.865	0.38	0.51	0.515	0.609	0.077	0.154	0.252	0.231	0.133	0.308	0.273
0.325	0.565	0.735	0.695	0.865	0.38	0.51	0.515	0.696	0.088	0.176	0.288	0.264	0.152	0.352	0.312
0.325	0.565	0.735	0.695	0.865	0.38	0.51	0.515	0.783	0.099	0.198	0.324	0.297	0.171	0.396	0.351
0.325	0.565	0.735	0.695	0.865	0.38	0.51	0.515	0.87	0.11	0.22	0.36	0.33	0.19	0.44	0.39
