0.335	0.515	0.625	0.67	0.95	0.415	0.63	0.5	0.068	0.014	0.033	0.061	0.034	0	0	0
0.335	0.515	0.625	0.67	0.95	0.415	0.63	0.5	0.136	0.028	0.066	0.122	0.068	0	0	0
0.335	0.515	0.625	0.67	0.95	0.415	0.63	0.5	0.204	0.042	0.099	0.183	0.102	0	0	0
0.335	0.515	0.625	0.67	0.95	0.415	0.63	0.5	0.272	0.056	0.132	0.244	0.136	0	0	0
0.335	0.515	0.625	0.67	0.95	0.415	0.63	0.5	0.34	0.07	0.165	0.305	0.17	0	0	0
0.335	0.515	0.625	0.67	0.95	0.415	0.63	0.5	0.408	0.084	0.198	0.366	0.204	0	0	0
0.335	0.515	0.625	0.67	0.95	0.415	0.63	0.5	0.476	0.098	0.231	0.427	0.238	0	0	0
0.335	0.515	0.625	0.67	0.95	0.415	0.63	0.5	0.544	0.112	0.264	0.488	0.272	0	0	0
0.335	0.515	0.625	0.67	0.95	0.415	0.63	0.5	0.612	0.126	0.297	0.549	0.306	0	0	0
0.335	0.515	0.625	0.67	0.95	0.415	0.63	0.5	0.68	0.14	0.33	0.61	0.34	0	0	0
